LYLTY_CARD_NBR,PREMIUM_CUSTOMER,AGE,SITUATION
1341,Mainstream,YOUNG,FAMILIES
1342,Mainstream,RETIREES,
1343,Budget,MIDAGE,SINGLES/COUPLES
1345,Mainstream,OLDER,SINGLES/COUPLES
1346,Mainstream,YOUNG,SINGLES/COUPLES
1347,Mainstream,RETIREES,
1348,Budget,MIDAGE,SINGLES/COUPLES
1349,Budget,OLDER,SINGLES/COUPLES
1350,Budget,OLDER,FAMILIES
1351,Budget,YOUNG,SINGLES/COUPLES
1352,Mainstream,OLDER,SINGLES/COUPLES
1353,Mainstream,YOUNG,SINGLES/COUPLES
1354,Budget,OLDER,SINGLES/COUPLES
1355,Premium,MIDAGE,SINGLES/COUPLES
1356,Premium,OLDER,FAMILIES
1357,Budget,OLDER,SINGLES/COUPLES
1358,Mainstream,OLDER,FAMILIES
1359,Mainstream,YOUNG,SINGLES/COUPLES
1360,Mainstream,YOUNG,SINGLES/COUPLES
1361,Budget,RETIREES,
1362,Mainstream,OLDER,FAMILIES
1363,Budget,YOUNG,FAMILIES
1364,Premium,RETIREES,
1365,Mainstream,RETIREES,
1366,Premium,MIDAGE,SINGLES/COUPLES
1367,Budget,OLDER,FAMILIES
1369,Premium,NEW,FAMILIES
1370,Budget,NEW,FAMILIES
1373,Budget,OLDER,FAMILIES
1374,Premium,MIDAGE,SINGLES/COUPLES
1375,Premium,OLDER,SINGLES/COUPLES
1376,Mainstream,RETIREES,
1377,Premium,OLDER,SINGLES/COUPLES
1378,Premium,OLDER,SINGLES/COUPLES
1380,Premium,YOUNG,SINGLES/COUPLES
1383,Mainstream,YOUNG,SINGLES/COUPLES
1384,Budget,YOUNG,SINGLES/COUPLES
1385,Budget,YOUNG,SINGLES/COUPLES
1386,Mainstream,OLDER,SINGLES/COUPLES
1390,Premium,YOUNG,FAMILIES
1392,Budget,YOUNG,FAMILIES
1394,Mainstream,YOUNG,SINGLES/COUPLES
1395,Budget,MIDAGE,SINGLES/COUPLES
1396,Premium,MIDAGE,SINGLES/COUPLES
1397,Mainstream,YOUNG,SINGLES/COUPLES
1399,Premium,MIDAGE,SINGLES/COUPLES
1400,Premium,RETIREES,
1401,Premium,NEW,FAMILIES
1402,Mainstream,YOUNG,SINGLES/COUPLES
1403,Budget,YOUNG,FAMILIES
1404,Mainstream,OLDER,SINGLES/COUPLES
1406,Premium,OLDER,SINGLES/COUPLES
1407,Mainstream,MIDAGE,SINGLES/COUPLES
1408,Mainstream,RETIREES,
1409,Mainstream,YOUNG,SINGLES/COUPLES
1410,Budget,RETIREES,
1411,Budget,MIDAGE,SINGLES/COUPLES
1412,Mainstream,OLDER,FAMILIES
1413,Budget,OLDER,FAMILIES
1414,Mainstream,RETIREES,
1415,Mainstream,YOUNG,SINGLES/COUPLES
1417,Mainstream,YOUNG,SINGLES/COUPLES
1418,Premium,MIDAGE,SINGLES/COUPLES
1419,Budget,YOUNG,FAMILIES
1420,Mainstream,OLDER,FAMILIES
1421,Premium,YOUNG,SINGLES/COUPLES
1422,Mainstream,MIDAGE,SINGLES/COUPLES
1423,Mainstream,YOUNG,SINGLES/COUPLES
1424,Budget,RETIREES,
1425,Mainstream,YOUNG,SINGLES/COUPLES
1429,Budget,YOUNG,SINGLES/COUPLES
1430,Premium,YOUNG,FAMILIES
1431,Budget,RETIREES,
1433,Budget,NEW,FAMILIES
1434,Mainstream,YOUNG,SINGLES/COUPLES
1436,Premium,YOUNG,FAMILIES
1437,Premium,NEW,FAMILIES
1438,Mainstream,NEW,FAMILIES
1439,Premium,YOUNG,FAMILIES
1440,Mainstream,RETIREES,
1443,Budget,YOUNG,FAMILIES
1444,Mainstream,YOUNG,SINGLES/COUPLES
1446,Premium,OLDER,FAMILIES
1448,Budget,OLDER,FAMILIES
1450,Mainstream,YOUNG,SINGLES/COUPLES
1451,Mainstream,MIDAGE,SINGLES/COUPLES
1452,Budget,OLDER,FAMILIES
1453,Premium,YOUNG,SINGLES/COUPLES
1454,Mainstream,OLDER,SINGLES/COUPLES
1455,Mainstream,YOUNG,SINGLES/COUPLES
1456,Budget,OLDER,FAMILIES
1457,Budget,YOUNG,SINGLES/COUPLES
1459,Budget,OLDER,FAMILIES
1460,Premium,YOUNG,SINGLES/COUPLES
1461,Mainstream,RETIREES,
1462,Premium,YOUNG,SINGLES/COUPLES
1463,Mainstream,RETIREES,
1464,Budget,OLDER,FAMILIES
1465,Mainstream,YOUNG,SINGLES/COUPLES
1467,Mainstream,OLDER,SINGLES/COUPLES
1468,Budget,YOUNG,SINGLES/COUPLES
1470,Mainstream,OLDER,FAMILIES
1471,Mainstream,YOUNG,FAMILIES
1473,Mainstream,RETIREES,
1474,Budget,OLDER,FAMILIES
1475,Budget,MIDAGE,SINGLES/COUPLES
1477,Premium,OLDER,FAMILIES
1478,Budget,YOUNG,SINGLES/COUPLES
1480,Premium,OLDER,SINGLES/COUPLES
1482,Mainstream,YOUNG,SINGLES/COUPLES
1484,Budget,YOUNG,SINGLES/COUPLES
1485,Premium,MIDAGE,SINGLES/COUPLES
1486,Budget,OLDER,FAMILIES
1487,Budget,YOUNG,SINGLES/COUPLES
1488,Budget,OLDER,SINGLES/COUPLES
1489,Budget,RETIREES,
1490,Mainstream,YOUNG,SINGLES/COUPLES
1491,Budget,MIDAGE,SINGLES/COUPLES
1494,Budget,YOUNG,SINGLES/COUPLES
1495,Budget,MIDAGE,SINGLES/COUPLES
1501,Mainstream,RETIREES,
1502,Mainstream,YOUNG,FAMILIES
1504,Budget,OLDER,FAMILIES
2000,Mainstream,NEW,FAMILIES
2001,Budget,YOUNG,SINGLES/COUPLES
2002,Mainstream,RETIREES,
2003,Premium,NEW,FAMILIES
2004,Budget,YOUNG,FAMILIES
2006,Mainstream,OLDER,FAMILIES
2008,Budget,YOUNG,SINGLES/COUPLES
2010,Premium,NEW,FAMILIES
2012,Mainstream,MIDAGE,SINGLES/COUPLES
2013,Mainstream,RETIREES,
2015,Premium,YOUNG,FAMILIES
2017,Budget,OLDER,FAMILIES
2018,Mainstream,OLDER,SINGLES/COUPLES
2019,Budget,YOUNG,SINGLES/COUPLES
2020,Premium,RETIREES,
2022,Premium,MIDAGE,SINGLES/COUPLES
2023,Mainstream,RETIREES,
2024,Budget,YOUNG,SINGLES/COUPLES
2025,Premium,RETIREES,
2026,Mainstream,YOUNG,SINGLES/COUPLES
2027,Budget,RETIREES,
2030,Premium,RETIREES,
2032,Mainstream,YOUNG,SINGLES/COUPLES
2033,Premium,YOUNG,SINGLES/COUPLES
2034,Budget,YOUNG,SINGLES/COUPLES
2035,Mainstream,MIDAGE,SINGLES/COUPLES
2036,Premium,NEW,FAMILIES
2038,Mainstream,YOUNG,SINGLES/COUPLES
2040,Mainstream,RETIREES,
2041,Premium,OLDER,SINGLES/COUPLES
2042,Premium,YOUNG,SINGLES/COUPLES
2043,Budget,OLDER,FAMILIES
2044,Premium,RETIREES,
2045,Budget,YOUNG,SINGLES/COUPLES
2047,Budget,YOUNG,SINGLES/COUPLES
2048,Mainstream,NEW,FAMILIES
2049,Premium,YOUNG,SINGLES/COUPLES
2050,Mainstream,YOUNG,FAMILIES
2051,Mainstream,OLDER,SINGLES/COUPLES
2052,Mainstream,YOUNG,SINGLES/COUPLES
2053,Mainstream,NEW,FAMILIES
2055,Budget,YOUNG,FAMILIES
2056,Budget,RETIREES,
2058,Mainstream,MIDAGE,SINGLES/COUPLES
2059,Budget,YOUNG,FAMILIES
2060,Mainstream,YOUNG,SINGLES/COUPLES
2069,Budget,YOUNG,SINGLES/COUPLES
2071,Budget,YOUNG,SINGLES/COUPLES
2074,Mainstream,RETIREES,
2080,Budget,YOUNG,SINGLES/COUPLES
2081,Mainstream,RETIREES,
2082,Mainstream,OLDER,FAMILIES
2083,Mainstream,RETIREES,
2084,Mainstream,YOUNG,SINGLES/COUPLES
2086,Budget,RETIREES,
2088,Budget,YOUNG,SINGLES/COUPLES
2089,Budget,OLDER,SINGLES/COUPLES
2090,Budget,OLDER,SINGLES/COUPLES
2091,Premium,YOUNG,SINGLES/COUPLES
2093,Mainstream,OLDER,SINGLES/COUPLES
2095,Premium,OLDER,SINGLES/COUPLES
2096,Budget,RETIREES,
2097,Mainstream,OLDER,SINGLES/COUPLES
2098,Mainstream,RETIREES,
2100,Mainstream,YOUNG,SINGLES/COUPLES
2101,Mainstream,OLDER,SINGLES/COUPLES
2102,Budget,YOUNG,SINGLES/COUPLES
2103,Mainstream,OLDER,FAMILIES
2104,Premium,YOUNG,SINGLES/COUPLES
2105,Mainstream,YOUNG,SINGLES/COUPLES
2106,Premium,YOUNG,SINGLES/COUPLES
2107,Mainstream,YOUNG,FAMILIES
2112,Mainstream,RETIREES,
2113,Budget,YOUNG,FAMILIES
2114,Budget,YOUNG,FAMILIES
2116,Budget,YOUNG,SINGLES/COUPLES
2117,Mainstream,OLDER,FAMILIES
2119,Budget,YOUNG,SINGLES/COUPLES
2120,Premium,OLDER,SINGLES/COUPLES
2121,Mainstream,YOUNG,SINGLES/COUPLES
2122,Premium,YOUNG,SINGLES/COUPLES
2123,Budget,OLDER,SINGLES/COUPLES
2125,Mainstream,RETIREES,
2129,Mainstream,YOUNG,SINGLES/COUPLES
2130,Budget,OLDER,FAMILIES
2131,Mainstream,YOUNG,SINGLES/COUPLES
2133,Budget,OLDER,FAMILIES
2135,Mainstream,RETIREES,
2136,Premium,OLDER,SINGLES/COUPLES
2139,Premium,MIDAGE,SINGLES/COUPLES
2141,Budget,YOUNG,SINGLES/COUPLES
2143,Mainstream,OLDER,SINGLES/COUPLES
2144,Budget,OLDER,SINGLES/COUPLES
2146,Premium,OLDER,FAMILIES
2147,Premium,OLDER,SINGLES/COUPLES
2148,Budget,RETIREES,
2149,Budget,RETIREES,
2150,Budget,RETIREES,
2153,Budget,YOUNG,SINGLES/COUPLES
2154,Mainstream,OLDER,SINGLES/COUPLES
2155,Budget,YOUNG,SINGLES/COUPLES
2161,Mainstream,YOUNG,SINGLES/COUPLES
2163,Premium,OLDER,FAMILIES
2164,Mainstream,YOUNG,SINGLES/COUPLES
2166,Premium,OLDER,SINGLES/COUPLES
2167,Mainstream,OLDER,SINGLES/COUPLES
2168,Mainstream,OLDER,SINGLES/COUPLES
2169,Premium,YOUNG,SINGLES/COUPLES
2170,Mainstream,YOUNG,SINGLES/COUPLES
2172,Premium,OLDER,FAMILIES
2173,Budget,OLDER,FAMILIES
2175,Mainstream,OLDER,SINGLES/COUPLES
2176,Mainstream,YOUNG,SINGLES/COUPLES
2178,Mainstream,OLDER,SINGLES/COUPLES
2180,Budget,YOUNG,FAMILIES
2181,Mainstream,YOUNG,SINGLES/COUPLES
2182,Premium,OLDER,SINGLES/COUPLES
2183,Mainstream,OLDER,FAMILIES
2184,Mainstream,YOUNG,SINGLES/COUPLES
2185,Budget,YOUNG,FAMILIES
2186,Mainstream,OLDER,FAMILIES
2188,Mainstream,YOUNG,SINGLES/COUPLES
2190,Mainstream,YOUNG,SINGLES/COUPLES
2191,Budget,OLDER,FAMILIES
2194,Premium,MIDAGE,SINGLES/COUPLES
2196,Budget,YOUNG,FAMILIES
2198,Mainstream,MIDAGE,SINGLES/COUPLES
2199,Mainstream,OLDER,SINGLES/COUPLES
2200,Budget,RETIREES,
2202,Budget,YOUNG,SINGLES/COUPLES
2203,Budget,MIDAGE,SINGLES/COUPLES
2205,Mainstream,RETIREES,
2210,Mainstream,YOUNG,SINGLES/COUPLES
2211,Budget,OLDER,SINGLES/COUPLES
2214,Mainstream,OLDER,SINGLES/COUPLES
2216,Premium,OLDER,SINGLES/COUPLES
2217,Mainstream,RETIREES,
2218,Budget,YOUNG,SINGLES/COUPLES
2219,Budget,OLDER,SINGLES/COUPLES
2220,Budget,OLDER,FAMILIES
2222,Mainstream,MIDAGE,SINGLES/COUPLES
2223,Premium,NEW,FAMILIES
2224,Mainstream,YOUNG,SINGLES/COUPLES
2225,Mainstream,MIDAGE,SINGLES/COUPLES
2226,Budget,OLDER,FAMILIES
2227,Mainstream,RETIREES,
2230,Premium,RETIREES,
2231,Premium,MIDAGE,SINGLES/COUPLES
2232,Mainstream,MIDAGE,SINGLES/COUPLES
2233,Budget,OLDER,SINGLES/COUPLES
2234,Mainstream,NEW,FAMILIES
2236,Budget,OLDER,SINGLES/COUPLES
2237,Mainstream,YOUNG,SINGLES/COUPLES
2238,Mainstream,RETIREES,
2240,Budget,OLDER,SINGLES/COUPLES
2242,Budget,OLDER,SINGLES/COUPLES
2244,Budget,YOUNG,SINGLES/COUPLES
2245,Budget,OLDER,FAMILIES
2246,Premium,MIDAGE,SINGLES/COUPLES
2247,Premium,YOUNG,SINGLES/COUPLES
2248,Mainstream,RETIREES,
2250,Mainstream,YOUNG,SINGLES/COUPLES
2253,Budget,RETIREES,
2254,Mainstream,YOUNG,SINGLES/COUPLES
2255,Budget,OLDER,SINGLES/COUPLES
2256,Budget,MIDAGE,SINGLES/COUPLES
2257,Premium,OLDER,SINGLES/COUPLES
2258,Budget,OLDER,FAMILIES
2259,Premium,YOUNG,FAMILIES
2260,Mainstream,YOUNG,FAMILIES
2262,Premium,YOUNG,SINGLES/COUPLES
2265,Budget,RETIREES,
2270,Budget,YOUNG,SINGLES/COUPLES
2272,Budget,YOUNG,SINGLES/COUPLES
2273,Mainstream,YOUNG,SINGLES/COUPLES
2274,Mainstream,YOUNG,FAMILIES
2277,Mainstream,YOUNG,SINGLES/COUPLES
2278,Premium,RETIREES,
2279,Premium,OLDER,SINGLES/COUPLES
2280,Premium,OLDER,SINGLES/COUPLES
2281,Mainstream,RETIREES,
2283,Budget,RETIREES,
2285,Mainstream,YOUNG,SINGLES/COUPLES
2286,Premium,YOUNG,SINGLES/COUPLES
2287,Mainstream,RETIREES,
2288,Mainstream,YOUNG,SINGLES/COUPLES
2292,Budget,YOUNG,FAMILIES
2294,Mainstream,MIDAGE,SINGLES/COUPLES
2295,Premium,YOUNG,SINGLES/COUPLES
2298,Mainstream,RETIREES,
2302,Mainstream,RETIREES,
2303,Mainstream,RETIREES,
2304,Budget,OLDER,SINGLES/COUPLES
2305,Premium,RETIREES,
2309,Budget,OLDER,SINGLES/COUPLES
2310,Budget,OLDER,FAMILIES
2311,Mainstream,NEW,FAMILIES
2313,Premium,MIDAGE,SINGLES/COUPLES
2315,Mainstream,YOUNG,SINGLES/COUPLES
2319,Premium,MIDAGE,SINGLES/COUPLES
2320,Premium,YOUNG,SINGLES/COUPLES
2323,Budget,YOUNG,FAMILIES
2324,Premium,YOUNG,SINGLES/COUPLES
2326,Budget,RETIREES,
2327,Mainstream,YOUNG,SINGLES/COUPLES
2328,Budget,YOUNG,FAMILIES
2330,Premium,YOUNG,SINGLES/COUPLES
2331,Budget,YOUNG,SINGLES/COUPLES
2332,Mainstream,YOUNG,SINGLES/COUPLES
2335,Budget,RETIREES,
2339,Premium,OLDER,SINGLES/COUPLES
2340,Mainstream,OLDER,SINGLES/COUPLES
2342,Mainstream,OLDER,SINGLES/COUPLES
2344,Premium,OLDER,SINGLES/COUPLES
2345,Premium,OLDER,FAMILIES
2346,Premium,OLDER,FAMILIES
2347,Budget,YOUNG,SINGLES/COUPLES
2348,Budget,OLDER,SINGLES/COUPLES
2349,Mainstream,YOUNG,SINGLES/COUPLES
2353,Mainstream,RETIREES,
2354,Budget,RETIREES,
2356,Premium,RETIREES,
2358,Mainstream,YOUNG,FAMILIES
2361,Mainstream,OLDER,FAMILIES
2362,Premium,OLDER,SINGLES/COUPLES
2363,Budget,YOUNG,FAMILIES
2364,Mainstream,OLDER,FAMILIES
2365,Mainstream,RETIREES,
2367,Mainstream,OLDER,SINGLES/COUPLES
2368,Mainstream,MIDAGE,SINGLES/COUPLES
2369,Mainstream,YOUNG,SINGLES/COUPLES
2370,Budget,YOUNG,FAMILIES
2371,Budget,OLDER,SINGLES/COUPLES
2372,Budget,NEW,FAMILIES
2373,Budget,MIDAGE,SINGLES/COUPLES
2375,Mainstream,RETIREES,
2376,Budget,OLDER,SINGLES/COUPLES
2377,Budget,YOUNG,SINGLES/COUPLES
2378,Premium,OLDER,SINGLES/COUPLES
2380,Mainstream,OLDER,FAMILIES
2381,Budget,OLDER,SINGLES/COUPLES
2382,Premium,MIDAGE,SINGLES/COUPLES
2383,Budget,YOUNG,FAMILIES
2384,Mainstream,MIDAGE,SINGLES/COUPLES
2385,Premium,YOUNG,FAMILIES
2386,Budget,MIDAGE,SINGLES/COUPLES
2387,Mainstream,NEW,FAMILIES
2389,Budget,MIDAGE,SINGLES/COUPLES
2394,Mainstream,RETIREES,
2395,Premium,YOUNG,FAMILIES
2396,Budget,RETIREES,
2398,Mainstream,RETIREES,
2399,Budget,YOUNG,FAMILIES
2400,Mainstream,YOUNG,SINGLES/COUPLES
2401,Mainstream,OLDER,SINGLES/COUPLES
2402,Budget,YOUNG,FAMILIES
2404,Premium,OLDER,SINGLES/COUPLES
2409,Mainstream,OLDER,SINGLES/COUPLES
2410,Budget,OLDER,SINGLES/COUPLES
2411,Mainstream,RETIREES,
2412,Budget,NEW,FAMILIES
2413,Budget,RETIREES,
2414,Mainstream,OLDER,SINGLES/COUPLES
2415,Budget,YOUNG,FAMILIES
2417,Mainstream,OLDER,SINGLES/COUPLES
2418,Premium,YOUNG,SINGLES/COUPLES
2419,Premium,YOUNG,SINGLES/COUPLES
2421,Mainstream,MIDAGE,SINGLES/COUPLES
2425,Mainstream,YOUNG,SINGLES/COUPLES
2426,Budget,MIDAGE,SINGLES/COUPLES
2427,Mainstream,OLDER,SINGLES/COUPLES
2428,Budget,YOUNG,FAMILIES
2429,Mainstream,OLDER,FAMILIES
2430,Budget,YOUNG,SINGLES/COUPLES
2431,Premium,RETIREES,
2433,Budget,OLDER,SINGLES/COUPLES
2434,Mainstream,RETIREES,
2437,Mainstream,RETIREES,
2438,Budget,MIDAGE,SINGLES/COUPLES
2439,Premium,RETIREES,
2441,Mainstream,MIDAGE,SINGLES/COUPLES
2444,Budget,MIDAGE,SINGLES/COUPLES
2447,Mainstream,YOUNG,SINGLES/COUPLES
2448,Premium,YOUNG,FAMILIES
2450,Budget,OLDER,SINGLES/COUPLES
2451,Budget,NEW,FAMILIES
